30.284,711437,,
30.585,711263,,
30.913,711524,,
31.248,709978,,
31.622,710340,,
31.928,709824,,
32.267,709823,,
32.597,709058,,
32.954,709372,,
33.330,708173,,
33.637,708244,,
33.956,707719,,
34.284,708025,,
34.624,706816,,
34.956,706981,,
35.301,705978,,
35.626,706295,,
35.975,705510,,
36.307,705493,,
36.647,705220,,
36.998,704527,,
37.319,704490,,
37.686,704373,,
37.993,704390,,
38.322,704037,,
38.655,703424,,
39.007,703472,,
39.353,703995,,
39.691,703487,,
40.014,703453,,
40.343,702559,,
40.662,703064,,
41.010,702318,,
41.355,702664,,
41.685,701607,,
42.002,702583,,
42.341,701733,,
42.690,701739,,
43.034,701396,,
43.378,701376,,
43.711,700737,,
44.048,701073,,
44.389,700707,,
44.716,700687,,
45.041,700239,,
45.362,700034,,
45.700,700477,,
46.041,700013,,
46.385,699655,,
46.719,699479,,
47.066,699262,,
47.402,699063,,
47.732,699427,,
48.064,698871,,
48.408,699253,,
48.739,698737,,
49.069,698836,,
49.407,698649,,
49.760,698638,,
50.112,698694,,
50.431,698474,,
50.757,698091,,
51.081,697828,,
51.431,698006,,
51.794,698118,,
52.105,697789,,
52.438,697769,,
52.763,698024,,
53.113,697824,,
53.436,697525,,
53.774,697780,,
54.121,697471,,
54.442,697273,,
54.761,697184,,
55.091,696748,,
55.439,697308,,
55.771,696986,,
56.111,697232,,
56.454,697165,,
56.796,697709,,
57.130,696660,,
57.472,697035,,
57.819,697088,,
58.138,697471,,
58.443,697051,,
58.812,696768,,
59.169,697002,,
59.505,696606,,
59.834,697037,,
60.161,696516,,
60.483,697278,,
60.833,696465,,
61.160,696725,,
61.487,696408,,
61.809,696821,,
62.145,696542,,
62.471,696558,,
62.812,697280,,
63.158,696224,,
63.502,696597,,
63.828,696411,,
64.169,696779,,
64.527,696338,,
64.856,696279,,
65.184,696763,,
65.514,696268,,
65.864,696331,,
66.203,696113,,
66.526,696610,,
66.867,696199,,
67.208,696182,,
67.540,696170,,
67.866,696219,,
68.201,696476,,
68.527,695751,,
68.865,696305,,
69.208,696034,,
69.548,696472,,
69.880,696164,,
70.215,696239,,
70.555,696064,,
70.877,696381,,
71.221,696456,,
71.558,696073,,
71.893,696251,,
72.236,696233,,
72.572,695768,,
72.903,695856,,
73.228,695706,,
73.557,696569,,
73.884,695841,,
74.227,695760,,
74.560,695569,,
74.910,695989,,
75.257,695990,,
75.590,695878,,
75.914,695906,,
76.254,695312,,
76.589,696182,,
76.928,695713,,
77.264,695683,,
77.591,696246,,
77.943,695800,,
78.270,696278,,
78.591,695503,,
78.927,695308,,
79.264,695660,,
79.613,695273,,
79.946,695454,,
80.285,695204,,
80.623,695595,,
80.942,695854,,
81.276,695534,,
81.612,695608,,
81.951,695466,,
82.287,694732,,
82.631,695391,,
82.961,695250,,
83.295,695166,,
83.630,695531,,
83.957,694845,,
84.299,695237,,
84.626,695686,,
84.965,695101,,
85.306,695479,,
85.646,694567,,
85.976,695275,,
86.308,695092,,
86.641,695285,,
86.976,695449,,
87.309,694770,,
87.642,695000,,
87.984,695258,,
88.316,694960,,
88.664,695662,,
89.010,695207,,
89.348,695028,,
89.693,695405,,
90.025,694413,,
90.355,695044,,
90.680,695069,,
91.019,694567,,
91.344,694965,,
91.669,694608,,
92.013,694888,,
92.364,694493,,
92.688,694826,,
93.014,694775,,
93.346,694962,,
93.678,695120,,
94.007,695062,,
94.344,695254,,
94.674,695061,,
95.025,694537,,
95.364,695445,,
95.696,695071,,
96.036,694934,,
96.382,695568,,
96.720,695325,,
97.063,695631,,
97.389,695624,,
97.720,695284,,
98.066,695423,,
98.393,696156,,
98.724,695617,,
99.061,695438,,
99.390,695956,,
99.731,695674,,
100.068,695455,,
100.406,695818,,
100.745,695530,,
101.079,695607,,
101.406,695597,,
101.736,695375,,
