Peak,Tm (K),Im (a.u.),Energy (eV)
Peak-1,140.17,216367.90826790352,0.292
Peak-2,201.822,154658.1173209687,0.42
Peak-3,223.591,114881.11741049802,0.466
Peak-4,328.678,242678.0,0.685
Peak-5,356.749,114780.33020851947,0.743
